epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,2340.3,0.86015,0.38492,0.00456,0.96356,0.94504,0.97538,0.69875,1.02817,0.32614,0.00874,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,2382.25,0.86494,0.39076,0.00469,0.94628,0.93612,0.97199,0.67766,1.13194,0.37471,0.00972,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,2423.9,0.86677,0.38427,0.00455,0.94287,0.94515,0.97315,0.70277,1.02764,0.34156,0.00937,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,2465.95,0.86254,0.38851,0.00452,0.96015,0.94034,0.97135,0.69554,1.06291,0.33334,0.00885,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,2507.6,0.8448,0.38061,0.00452,0.96334,0.94595,0.97776,0.68203,1.10881,0.34458,0.00926,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,2549.85,0.85336,0.37781,0.00459,0.96689,0.9436,0.97518,0.69533,1.0727,0.33588,0.00886,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,2591.61,0.86061,0.38487,0.00464,0.95867,0.95067,0.97373,0.68535,1.11273,0.3453,0.00892,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,2633.71,0.86042,0.38207,0.00461,0.97114,0.94491,0.97629,0.69659,1.1102,0.33086,0.00885,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,2675.42,0.85677,0.38715,0.00459,0.9654,0.94559,0.97206,0.68001,1.1243,0.34355,0.00886,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,2717.16,0.85505,0.38042,0.00461,0.96627,0.93425,0.97215,0.66185,1.17499,0.37453,0.00923,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,2759.26,0.84724,0.37235,0.00442,0.96342,0.94652,0.97176,0.67202,1.17208,0.35877,0.00941,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,2801.26,0.85611,0.37685,0.00454,0.95841,0.94612,0.97122,0.66266,1.20804,0.36512,0.00963,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,2842.98,0.85082,0.376,0.00464,0.95874,0.9381,0.97069,0.70937,0.98671,0.3299,0.00861,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,2885.03,0.84395,0.3744,0.00438,0.95806,0.93189,0.97344,0.68035,1.12625,0.3513,0.00903,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,2926.88,0.8479,0.38511,0.00452,0.96007,0.94658,0.9714,0.71096,0.99756,0.32265,0.00842,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,2968.74,0.84112,0.37777,0.00455,0.95746,0.9532,0.97246,0.67955,1.12205,0.34844,0.00905,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
